stop_id,location_type,stop_lat,stop_lon,stop_name
101,1,40.889248,-73.898583,Van Cortlandt Park - 242 St
103,1,40.884667,-73.90087,238 St
104,1,40.878856,-73.904834,231 St
106,1,40.874561,-73.909831,Marble Hill - 225 St
107,1,40.869444,-73.915279,215 St
108,1,40.864621,-73.918822,207 St
109,1,40.860531,-73.925536,Dyckman St
110,1,40.855225,-73.929412,191 St
111,1,40.849505,-73.933596,181 St
112,1,40.840556,-73.940133,168 St - Washington Hts
113,1,40.834041,-73.94489,157 St
114,1,40.826551,-73.95036,145 St
115,1,40.822008,-73.953676,137 St - City College
116,1,40.815581,-73.958372,125 St
117,1,40.807722,-73.96411,116 St - Columbia University
118,1,40.803967,-73.966847,Cathedral Pkwy
119,1,40.799446,-73.968379,103 St
120,1,40.793919,-73.972323,96 St
121,1,40.788644,-73.976218,86 St
122,1,40.783934,-73.979917,79 St
123,1,40.778453,-73.98197,72 St
124,1,40.77344,-73.982209,66 St - Lincoln Center
125,1,40.768247,-73.981929,59 St - Columbus Circle
126,1,40.761728,-73.983849,50 St
127,1,40.75529,-73.987495,Times Sq - 42 St
128,1,40.750373,-73.991057,34 St - Penn Station
129,1,40.747215,-73.993365,28 St
130,1,40.744081,-73.995657,23 St
131,1,40.74104,-73.997871,18 St
132,1,40.737826,-74.000201,14 St
133,1,40.733422,-74.002906,Christopher St - Sheridan Sq
134,1,40.728251,-74.005367,Houston St
135,1,40.722854,-74.006277,Canal St
136,1,40.719318,-74.006886,Franklin St
137,1,40.715478,-74.009266,Chambers St
138,1,40.711835,-74.012188,Cortlandt St
139,1,40.707513,-74.013783,Rector St
140,1,40.701411,-74.013205,South Ferry Loop
201,1,40.903125,-73.85062,Wakefield - 241 St
204,1,40.898379,-73.854376,Nereid Av
205,1,40.893193,-73.857473,233 St
206,1,40.888022,-73.860341,225 St
207,1,40.883895,-73.862633,219 St
208,1,40.87785,-73.866256,Gun Hill Rd
209,1,40.871356,-73.867164,Burke Av
210,1,40.865462,-73.867352,Allerton Av
211,1,40.857192,-73.867615,Pelham Pkwy
212,1,40.848828,-73.868457,Bronx Park East
